Year,Month,ID,sex,Carapace width (lateral spines) (mm),Carapace length (mm),Carapace width (base) (mm),Maturity,Claw Height (mm),Abdomen width (mm),carapace_width_spines,chela_height,abdomen_width
2021,April,SAPIDUS,M,109.98,56.03,88.08,M,15.11,36.61,109.98,15.11,36.61
2021,April,SAPIDUS,M,106.74,56.94,89.22,M,17.71,34.3,106.74,17.71,34.3
2021,April,BOCOURTI,M,120.85,65.65,103.15,M,23,37.59,120.85,23,37.59
2021,April,BOCOURTI,M,111.12,60.09,96.67,M,21.17,27.72,111.12,21.17,27.72
2021,April,ORNATUS,M,86.69,50.01,78.85,M,13.38,22.27,86.69,13.38,22.27
2021,July,SIMILIS,M,117.08,52.19,90.06,M,14.48,24.51,117.08,14.48,24.51
2021,July,SIMILIS,M,107.12,47.97,84.18,M,13.7,23.01,107.12,13.7,23.01
2021,July,BOCOURTI,M,103,56.26,86.27,M,15.08,25.29,103,15.08,25.29
2021,July,BOCOURTI,M,109.46,59.74,93.85,M,15.3,26.57,109.46,15.3,26.57
2021,July,BOCOURTI,M,112.78,64.75,104.25,M,21.85,37.9,112.78,21.85,37.9
2021,July,SAPIDUS,M,140.08,67.8,115.56,M,21.2,31.19,140.08,21.2,31.19
2021,July,SAPIDUS,M,130.07,65.62,112.21,M,20.09,30.06,130.07,20.09,30.06
2021,July,BOCOURTI,M,121.19,62.31,103.34,M,17.72,27.73,121.19,17.72,27.73
2021,July,BOCOURTI,M,100.93,54.43,88.37,M,15.85,34.59,100.93,15.85,34.59
2021,April,BOCOURTI,F,99.12,51.06,84.14,M,14.15,32.74,99.12,14.15,32.74
2021,October,BOCOURTI,F,103.71,51.92,87.83,M,45.49,37.77,103.71,45.49,37.77
2021,October,ORNATUS,F,101.5,45.36,78.71,M,14.61,33.34,101.5,14.61,33.34
2021,July,SIMILIS,F,94.38,43.28,75.49,M,11.22,30.05,94.38,11.22,30.05
2021,October,BOCOURTI,F,91.2,46.3,73.8,M,11.3,30.9,91.2,11.3,30.9
2021,July,SIMILIS,F,99.9,45.5,76.7,M,15.59,33.35,99.9,15.59,33.35
2021,April,BOCOURTI,F,97.67,52.22,85.95,M,16.36,32.74,97.67,16.36,32.74
2021,April,SIMILIS,F,96.33,46.7,72.69,M,8.67,27.83,96.33,8.67,27.83
2021,April,BOCOURTI,F,85.14,47.75,74.18,M,12.16,33.2,85.14,12.16,33.2
2021,April,SAPIDUS,F,108.56,62.17,89.93,M,16.75,39.91,108.56,16.75,39.91
2021,January,SAPIDUS,F,125,55,97,M,20,40,125,20,40
2021,April,SIMILIS,F,82.15,38.4,64.93,M,9.45,25.46,82.15,9.45,25.46
2021,April,SIMILIS,F,93.64,42.92,71.26,M,11.09,25.76,93.64,11.09,25.76
2021,October,SAPIDUS,F,107.23,48.88,84.52,M,19.39,35.72,107.23,19.39,35.72
2021,October,SAPIDUS,F,103.15,48.84,84.69,M,10.44,37.18,103.15,10.44,37.18
2021,April,SIMILIS,F,91.25,43.87,71.37,M,11.79,27.58,91.25,11.79,27.58
2021,July,SIMILIS,F,95.23,93.21,78.56,M,13.19,28.63,95.23,13.19,28.63
2021,October,SIMILIS,F,86.12,41.56,71.86,M,12.07,31.34,86.12,12.07,31.34
2021,July,SIMILIS,F,94.5,43.48,74.67,M,13.43,30,94.5,13.43,30
2021,October,BOCOURTI,F,105.37,54.59,88.71,M,15.47,38.48,105.37,15.47,38.48
2020,October,BOCOURTI,F,92.77,47.47,76.54,m,13.15,33.09,92.77,13.15,33.09
2021,April,SIMILIS,F,93.79,42.8,71.93,M,19.65,30.3,93.79,19.65,30.3
2021,April,SIMILIS,F,102.15,45.7,79.2,M,15.69,32.4,102.15,15.69,32.4
2021,April,SIMILIS,F,94.62,42.6,71.45,M,10.84,28.23,94.62,10.84,28.23
2021,July,ORNATUS,F,107.25,55.6,90.59,M,16.24,39.04,107.25,16.24,39.04
2020,October,SAPIDUS,F,107.8,50.69,86.51,m,17.41,36.42,107.8,17.41,36.42
2021,July,SAPIDUS,F,146.63,68.47,107.47,M,18.43,50.9,146.63,18.43,50.9
2021,July,SAPIDUS,F,138.89,64.05,107.68,M,16.46,41.16,138.89,16.46,41.16
2021,April,SIMILIS,F,100.82,45.59,78.15,M,14.67,29.44,100.82,14.67,29.44
2021,July,ORNATUS,F,90.85,49.95,81.43,M,16.17,35.49,90.85,16.17,35.49
2020,October,BOCOURTI,F,95,49,57,m,13,34,95,13,34
2020,October,SAPIDUS,F,111,53,66,m,17,NA,111,17,NA
2021,April,SAPIDUS,F,115.07,60.77,89.78,M,13.08,40.49,115.07,13.08,40.49
2020,October,BOCOURTI,F,98.47,48.44,80.4,m,12.59,35.46,98.47,12.59,35.46
2020,October,BOCOURTI,F,114.8,55.35,93.09,M,NA,41.1,114.8,NA,41.1
2021,April,BOCOURTI,F,92.91,51.52,82.76,M,14.87,31.36,92.91,14.87,31.36
2020,October,SAPIDUS,F,126,59,76,m,21,42.3,126,21,42.3
2021,April,BOCOURTI,F,97.44,53.23,87.03,M,18.92,36.83,97.44,18.92,36.83
2020,October,SAPIDUS,F,122.92,57.92,99.26,m,20.43,41.29,122.92,20.43,41.29
2021,January,SAPIDUS,F,130,64,103,M,18,42,130,18,42
2020,October,SAPIDUS,F,109,51,72,m,16,37,109,16,37
2020,October,BOCOURTI,F,101.58,54.5,63.43,m,16.96,36.5,101.58,16.96,36.5
2020,October,BOCOURTI,F,98,51,60.3,n,17.3,37,98,17.3,37
2020,October,BOCOURTI,F,NA,NA,56,N/A,NA,NA,NA,NA,NA
2020,October,SIMILIS,F,NA,NA,N/A,N/A,NA,NA,NA,NA,NA
2021,October,ORNATUS,F,86.1,39.1,67.4,NA,12.7,30.6,86.1,12.7,30.6
2021,October,ORNATUS,F,100.8,46.34,78.48,NA,12.64,33.87,100.8,12.64,33.87
2021,October,BOCOURTI,F,105.5,53.1,86.8,NA,16.1,40,105.5,16.1,40
2020,October,SAPIDUS,F,128.09,57.81,97.78,NA,19.87,38.42,128.09,19.87,38.42
2020,October,SAPIDUS,F,118.3,59.24,96.36,NA,20.89,43.54,118.3,20.89,43.54
2021,October,BOCOURTI,F,107.54,54.84,89.57,NA,14.34,39.87,107.54,14.34,39.87
2021,October,ORNATUS,F,108.11,47.81,84.45,NA,15.2,37.23,108.11,15.2,37.23
2021,October,SAPIDUS,F,116.9,52.6,88.2,NA,18.9,40.7,116.9,18.9,40.7
2021,October,BOCOURTI,F,117.17,61.05,105.61,NA,14.45,44.29,117.17,14.45,44.29
2021,October,SAPIDUS,F,117.04,55.16,92.42,NA,18.7,40.44,117.04,18.7,40.44
2021,October,BOCOURTI,F,104.92,54.61,86.26,NA,13.44,38.98,104.92,13.44,38.98
2021,October,SIMILIS,M,102.86,45.84,79.23,NA,14.44,32.5,102.86,14.44,32.5
2021,October,SIMILIS,M,93,40.8,72.5,NA,13.7,26.8,93,13.7,26.8
2021,October,BOCOURTI,M,112.7,56.7,93.9,NA,20.1,33.6,112.7,20.1,33.6
2021,October,SIMILIS,M,110.2,48.34,81.06,NA,16.86,34.62,110.2,16.86,34.62
2020,October,SIMILIS,M,105.42,47.14,77.16,NA,13.23,28.6,105.42,13.23,28.6
2020,October,SAPIDUS,M,43.39,20.63,NA,NA,4.67,12.49,43.39,4.67,12.49
2020,October,SIMILIS,M,106.9,49.17,81.23,NA,17.01,31.7,106.9,17.01,31.7
