"Date","Station","Year_Month","ID","sex","weight (g)","Carapace width (base) (mm)","Carapace width (lateral spines) (mm)","Carapace length (mm)","Maturity","Ovigerous"
"10/21/20","DY","2020-10","ORNATUS","F",87.74,84.6,100.15,51.11,NA,1
"10/21/20","DY","2020-10","SAPIDUS","F",91.18,86.51,107.8,50.69,"m",1
"10/21/20","DY","2020-10","ORNATUS","F",72.34,79.82,98.2,48.83,NA,1
"7/14/21","BC","2021-07","SAPIDUS","F",163.55,107.47,146.63,68.47,"M",1
"7/13/21","AP","2021-07","SAPIDUS","F",184.18,107.68,138.89,64.05,"M",1
"4/21/21","BC","2021-04","SIMILIS","F",66.42,78.15,100.82,45.59,"M",1
"7/15/21","BC","2021-07","ORNATUS","F",72.72,81.43,90.85,49.95,"M",0
"10/20/20","AP","2020-10","BOCOURTI","F",72,57,95,49,"m",1
"10/20/20","IM","2020-10","SAPIDUS","F",89,66,111,53,"m",1
"4/21/21","AP","2021-04","SAPIDUS","F",84.52,89.78,115.07,60.77,"M",0
"10/20/20","IM","2020-10","BOCOURTI","F",59.46,80.4,98.47,48.44,"m",0
"10/21/20","AP","2020-10","BOCOURTI","F",73.57,93.09,114.8,55.35,"M",0
"10/20/20","IM","2020-10","ORNATUS","F",159.79,106.32,125.8,65.93,NA,0
"10/21/20","AP","2020-10","ORNATUS","F",79.16,87.58,110.01,51.81,NA,0
"10/20/20","DY","2020-10","ORNATUS","F",65.92,79.16,95.01,49.04,NA,0
"4/19/21","AP","2021-04","BOCOURTI","F",70.87,82.76,92.91,51.52,"M",0
"10/20/20","AP","2020-10","SAPIDUS","F",77,65,108,51.2,"-",0
"10/20/20","AP","2020-10","SAPIDUS","F",111,76,126,59,"m",0
